OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year_2digit,Year
27,05/87,74 / 76 Camphill Road,Broughty Ferry,Dundee,Fc404Fb8-20Af-4E9E-8B2B-954Fb56Ecdec,87,1987
28,06/93,Harestane Place/Pitempton Road,Dundee,Dundee,E73A061B-9805-4Cf2-8354-2C4450482248,93,1993
29,04/94,South Of Richmond Terrace,Dundee,Dundee,4A4C03D1-624C-4874-Bc57-F943D7F30D5A,94,1994
30,01/95,Langlea Nursery,Langlea Place,Broughty Ferry,056De7D8-0B6E-4C42-B89D-E53Bb23Ce0Ad,95,1995
31,01/00,Redcroft,432 Blackness Road,Dundee,12194F77-34Ea-4F28-93Ad-7Dd56544B888,0,2000
32,01/94,Stirling House,Netherton Cottage,Craigiebarn Road,71F44A98-1B04-48B4-Abaf-Fd2Ded30F919,94,1994
33,01/02,7 Hill Road,Broughty Ferry,Dundee,43Cf91Ec-338A-4F4F-8319-19F136Bf1030,2,2002
34,01/03,Claverhouse,Dundee,Dundee,F6Ff566C-6888-4Db6-8740-Db0Fae963673,3,2003
35,03/03,Claverhouse,Dundee,Dundee,5125C60C-92B8-41Bb-962D-859C14D60Ed3,3,2003
36,05/03,Seabourne Gardens,Broughty Ferry,Dundee,A6946162-1D7C-4C94-B566-000C3B665B22,3,2003
37,05/04,103 Strathern Road,Broughty Ferry,Dundee,4B068972-892D-40D1-91E7-E8Cf0A72E5F5,4,2004
38,05/83,Balgowan School,Strathmartine Road,Dundee,C4Feaf07-A057-438B-A3B2-Dc1D41C374Dc,83,1983
39,05/02,Kings Cross Hospital,Clepington Road,Dundee,72Ec4Fca-2Ba0-430E-Ab72-4D81Cad8C7Fd,2,2002
40,01/05,Also Boundary For Tpo No 04/05,King'S Cross Road,Dundee,E72A7910-3569-4D6D-96B3-Cc2B9899Dbaa,5,2005
41,08/05,Rockwell Solutions,Unit 1,Brunel Road,1Ae156A6-7E81-4112-A4C0-D735Fbd7Eb66,5,2005
42,04/10,35 Albert Road,Broughty Ferry,Dundee,62Cf1A2C-D50D-44A5-819E-91Fcfa6D1100,10,2010
43,04/83,Annfield House,96 Fort Street,Broughty Ferry,C6A2Ae2F-6272-4Fec-B0Dd-0185F9A06678,83,1983
44,03/86,Tayfield Works,Seafield Road,Dundee,49D78B3B-E79C-42F2-97C6-Eaccd48D3326,86,1986
45,03/93,5-9 Fairfield Road,West Ferry,Dundee,651Eae44-977D-41Ce-A705-7Ca0642E9E27,93,1993
46,04/87,Panmure Terrace /,Abercromby Street,Broughty Ferry,969F732D-1A9E-4B95-A08F-C30F974D8B77,87,1987
